baseline,baseline_penalization,alwayshint,alwayshint_penalization,ppo,ppo_penalization
-2.2079400000000002,-3.3679400000000004,-1.7207999999999999,-8.950800000000001,0.84738,-2.956599999999999
-2.2184000000000004,-3.3684000000000003,-1.5127999999999997,-8.7628,0.8185400000000002,-3.09604
-2.4089000000000005,-3.5288999999999997,-1.4884,-8.688400000000001,0.65774,-2.98252
-2.65962,-3.77962,-1.4370000000000003,-8.607000000000001,0.6472199999999999,-2.7218000000000004
-2.4699800000000005,-3.6099799999999993,-1.4372,-8.587200000000001,0.43122,-2.4976199999999995
-2.26128,-3.40128,-1.4335999999999998,-8.5536,0.47598000000000007,-2.39078
-2.2957,-3.4556999999999998,-1.607,-8.777000000000001,0.5208400000000001,-2.4277999999999995
-2.2571600000000003,-3.39716,-1.7898000000000003,-8.9698,0.49400000000000005,-2.6057599999999996
-2.41636,-3.5663600000000004,-2.0062,-9.2162,0.49094,-2.50772
-2.21096,-3.3909599999999993,-2.0062,-9.0062,0.55998,-2.6674599999999997
-2.16708,-3.3370800000000003,-1.9768000000000001,-8.9768,0.51472,-2.61746
-2.1453200000000003,-3.31532,-2.1948,-9.2248,0.72624,-2.6016199999999996
-2.36262,-3.53262,-1.995,-8.855,0.9199199999999998,-2.60898
-2.36222,-3.5322199999999997,-2.1854,-9.215399999999999,0.8859800000000001,-2.82012
-2.5413,-3.7013,-2.184,-9.214,0.8752200000000002,-2.6327799999999995
-2.3821,-3.5520999999999994,-2.4032,-9.523200000000001,0.8667200000000002,-2.56476
-2.19024,-3.40024,-2.412,-9.542,1.0944399999999999,-2.53196
-1.97944,-3.17944,-2.4170000000000003,-9.587000000000002,0.9068799999999999,-2.61776
-1.94576,-3.1357600000000003,-2.619,-10.129000000000001,0.7190000000000002,-2.78044
-1.72986,-2.89986,-2.6198,-10.1698,0.7467,-2.9714
-1.88906,-3.04906,-2.8253999999999997,-10.465399999999999,0.73834,-2.9518
-1.9227200000000002,-3.06272,-2.7824,-10.4524,0.69878,-2.98234
-1.95574,-3.1057399999999995,-2.7668,-10.4368,0.7165,-2.9667399999999997
-1.7617599999999998,-2.9317599999999997,-2.7333999999999996,-10.393400000000002,0.7297999999999999,-2.7961400000000003
-1.51148,-2.70148,-2.7336,-10.373600000000001,0.7499600000000001,-2.9830200000000002
-1.5138599999999998,-2.7138600000000004,-2.525,-10.135,0.7561600000000002,-2.87504
